oid,description
iso.3.6.1.2.1.4.31.1.1.22,"[<code>ipSystemStatsOutNoRoutes OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of locally generated IP datagrams discarded<br/>
because no route could be found to transmit them to their<br/>
destination.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.23,"[<code>ipSystemStatsOutForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of datagrams for which this entity was not their<br/>
final IP destination and for which it was successful in<br/>
finding a path to their final destination. In entities<br/>
that do not act as IP routers, this counter will include<br/>
only those datagrams that were Source-Routed via this<br/>
entity, and the Source-Route processing was successful.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a successfully<br/>
forwarded datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.24,"[<code>ipSystemStatsHCOutForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of datagrams for which this entity was not their<br/>
final IP destination and for which it was successful in<br/>
finding a path to their final destination. This object<br/>
counts the same packets as ipSystemStatsOutForwDatagrams,<br/>
but allows for larger values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.25,"[<code>ipSystemStatsOutDiscards OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of output IP datagrams for which no problem was<br/>
encountered to prevent their transmission to their<br/>
destination, but were discarded (e.g., for lack of<br/>
buffer space). Note that this counter would include<br/>
datagrams counted in ipSystemStatsOutForwDatagrams if any<br/>
such datagrams met this (discretionary) discard criterion.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.26,"[<code>ipSystemStatsOutFragReqds OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that would require fragmentation in order to be transmitted.<br/>
When tracking interface statistics, the counter of the outgoing interface is incremented for a datagram requiring fragmentation.<br/>
Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.27,"[<code>ipSystemStatsOutFragOKs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that have been successfully<br/>
fragmented.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a successfully<br/>
fragmented datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.28,"[<code>ipSystemStatsOutFragFails OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that have been discarded because<br/>
they needed to be fragmented but could not be. This<br/>
includes IPv4 packets that have the DF bit set and IPv6<br/>
packets that are being forwarded and exceed the outgoing<br/>
link MTU.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for an unsuccessfully<br/>
fragmented datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.1.1.29,"[<code>ipSystemStatsOutFragCreates OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of output datagram fragments that have been<br/>
generated as a result of IP fragmentation.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a successfully<br/>
created datagram fragment.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipSystemStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.2,"[<code>ipIfStatsTableLastChange OBJECT-TYPE<br/>
SYNTAX TimeStamp<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The value of sysUpTime on the most recent occasion at which<br/>
a row in the ipIfStatsTable was added or deleted.<br/>
If new objects are added to the ipIfStatsTable that require<br/>
the ipIfStatsTableLastChange to be updated when they are<br/>
modified, they must specify that requirement in their<br/>
description clause.""</code>]"
iso.3.6.1.2.1.4.31.3.1.3,"[<code>ipIfStatsInReceives OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of input IP datagrams received, including<br/>
those received in error.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.4,"[<code>ipIfStatsHCInReceives OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of input IP datagrams received, including<br/>
those received in error. This object counts the same<br/>
datagrams as ipIfStatsInReceives, but allows for larger<br/>
values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.5,"[<code>ipIfStatsInOctets OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of octets received in input IP datagrams,<br/>
including those received in error. Octets from datagrams<br/>
counted in ipIfStatsInReceives MUST be counted here.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.6,"[<code>ipIfStatsHCInOctets OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of octets received in input IP datagrams,<br/>
including those received in error. This object counts the<br/>
same octets as ipIfStatsInOctets, but allows for larger<br/>
values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.7,"[<code>ipIfStatsInHdrErrors OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input IP datagrams discarded due to errors in<br/>
their IP headers, including version number mismatch, other<br/>
format errors, hop count exceeded, errors discovered in<br/>
processing their IP options, etc.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.8,"[<code>ipIfStatsInNoRoutes OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input IP datagrams discarded because no route<br/>
could be found to transmit them to their destination.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.9,"[<code>ipIfStatsInAddrErrors OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input IP datagrams discarded because the IP<br/>
address in their IP header's destination field was not a<br/>
valid address to be received at this entity. This count<br/>
includes invalid addresses (e.g., ::0). For entities that<br/>
are not IP routers and therefore do not forward datagrams,<br/>
this counter includes datagrams discarded because the<br/>
destination address was not a local address.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.10,"[<code>ipIfStatsInUnknownProtos OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of locally-addressed IP datagrams received<br/>
successfully but discarded because of an unknown or<br/>
unsupported protocol.<br/>
When tracking interface statistics, the counter of the<br/>
interface to which these datagrams were addressed is<br/>
incremented. This interface might not be the same as the<br/>
input interface for some of the datagrams.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.11,"[<code>ipIfStatsInTruncatedPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input IP datagrams discarded because the<br/>
datagram frame didn't carry enough data.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.12,"[<code>ipIfStatsInForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input datagrams for which this entity was not<br/>
their final IP destination and for which this entity<br/>
attempted to find a route to forward them to that final<br/>
destination. In entities that do not act as IP routers,<br/>
this counter will include only those datagrams that were<br/>
Source-Routed via this entity, and the Source-Route<br/>
processing was successful.<br/>
When tracking interface statistics, the counter of the<br/>
incoming interface is incremented for each datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.13,"[<code>ipIfStatsHCInForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input datagrams for which this entity was not<br/>
their final IP destination and for which this entity<br/>
attempted to find a route to forward them to that final<br/>
destination. This object counts the same packets as<br/>
ipIfStatsInForwDatagrams, but allows for larger values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.14,"[<code>ipIfStatsReasmReqds OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP fragments received that needed to be<br/>
reassembled at this interface.<br/>
When tracking interface statistics, the counter of the<br/>
interface to which these fragments were addressed is<br/>
incremented. This interface might not be the same as the<br/>
input interface for some of the fragments.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.15,"[<code>ipIfStatsReasmOKs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams successfully reassembled.<br/>
When tracking interface statistics, the counter of the<br/>
interface to which these datagrams were addressed is<br/>
incremented. This interface might not be the same as the<br/>
input interface for some of the datagrams.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.16,"[<code>ipIfStatsReasmFails OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of failures detected by the IP re-assembly<br/>
algorithm (for whatever reason: timed out, errors, etc.).<br/>
Note that this is not necessarily a count of discarded IP<br/>
fragments since some algorithms (notably the algorithm in<br/>
RFC 815) can lose track of the number of fragments by<br/>
combining them as they are received.<br/>
When tracking interface statistics, the counter of the<br/>
interface to which these fragments were addressed is<br/>
incremented. This interface might not be the same as the<br/>
input interface for some of the fragments.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.17,"[<code>ipIfStatsInDiscards OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of input IP datagrams for which no problems were<br/>
encountered to prevent their continued processing, but<br/>
were discarded (e.g., for lack of buffer space). Note that<br/>
this counter does not include any datagrams discarded while<br/>
awaiting re-assembly.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.18,"[<code>ipIfStatsInDelivers OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of datagrams successfully delivered to IP<br/>
user-protocols (including ICMP).<br/>
When tracking interface statistics, the counter of the<br/>
interface to which these datagrams were addressed is<br/>
incremented. This interface might not be the same as the<br/>
input interface for some of the datagrams.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.19,"[<code>ipIfStatsHCInDelivers OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of datagrams successfully delivered to IP<br/>
user-protocols (including ICMP). This object counts the<br/>
same packets as ipIfStatsInDelivers, but allows for larger<br/>
values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.20,"[<code>ipIfStatsOutRequests OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of IP datagrams that local IP user-<br/>
protocols (including ICMP) supplied to IP in requests for<br/>
transmission. Note that this counter does not include any<br/>
datagrams counted in ipIfStatsOutForwDatagrams.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.21,"[<code>ipIfStatsHCOutRequests OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of IP datagrams that local IP user-<br/>
protocols (including ICMP) supplied to IP in requests for<br/>
transmission. This object counts the same packets as<br/>
ipIfStatsOutRequests, but allows for larger values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.23,"[<code>ipIfStatsOutForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of datagrams for which this entity was not their<br/>
final IP destination and for which it was successful in<br/>
finding a path to their final destination. In entities<br/>
that do not act as IP routers, this counter will include<br/>
only those datagrams that were Source-Routed via this<br/>
entity, and the Source-Route processing was successful.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a successfully<br/>
forwarded datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.24,"[<code>ipIfStatsHCOutForwDatagrams OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of datagrams for which this entity was not their<br/>
final IP destination and for which it was successful in<br/>
finding a path to their final destination. This object<br/>
counts the same packets as ipIfStatsOutForwDatagrams, but<br/>
allows for larger values.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.25,"[<code>ipIfStatsOutDiscards OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of output IP datagrams for which no problem was<br/>
encountered to prevent their transmission to their<br/>
destination, but were discarded (e.g., for lack of<br/>
buffer space). Note that this counter would include<br/>
datagrams counted in ipIfStatsOutForwDatagrams if any such<br/>
datagrams met this (discretionary) discard criterion.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.26,"[<code>ipIfStatsOutFragReqds OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that would require fragmentation<br/>
in order to be transmitted.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a datagram requiring<br/>
fragmentatio.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.27,"[<code>ipIfStatsOutFragOKs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that have been successfully<br/>
fragmented.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for a successfully<br/>
fragmented datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.28,"[<code>ipIfStatsOutFragFails OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of IP datagrams that have been discarded because<br/>
they needed to be fragmented but could not be. This<br/>
includes IPv4 packets that have the DF bit set and IPv6<br/>
packets that are being forwarded and exceed the outgoing<br/>
link MTU.<br/>
When tracking interface statistics, the counter of the<br/>
outgoing interface is incremented for an unsuccessfully<br/>
fragmented datagram.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.31.3.1.29,"[<code>ipIfStatsOutFragCreates OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of output datagram fragments that have been generated as a result of IP fragmentation.<br/>
When tracking interface statistics, the counter of the outgoing interface is incremented for a successfully created datagram fragment.<br/>
Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ipIfStatsDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.4.32.1.5,"[<code>ipAddressPrefixOrigin OBJECT-TYPE<br/>
SYNTAX IpAddressPrefixOriginTC<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The origin of this prefix.""</code>]"
iso.3.6.1.2.1.4.32.1.6,"[<code>ipAddressPrefixOnLinkFlag OBJECT-TYPE<br/>
SYNTAX TruthValue<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""This object has the value 'true(1)', if this prefix can be<br/>
used for on-link determination; otherwise, the value is<br/>
'false(2)'.<br/>
The default for IPv4 prefixes is 'true(1)'.""<br/>
REFERENCE ""For IPv6 RFC 2461, especially sections 2 and 4.6.2 and<br/>
RFC 2462""</code>]"
iso.3.6.1.2.1.4.32.1.7,"[<code>ipAddressPrefixAutonomousFlag OBJECT-TYPE<br/>
SYNTAX TruthValue<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""Autonomous address configuration flag. When true(1),<br/>
indicates that this prefix can be used for autonomous<br/>
address configuration (i.e., can be used to form a local<br/>
interface address). If false(2), it is not used to auto-<br/>
configure a local interface address.<br/>
The default for IPv4 prefixes is 'false(2)'.""<br/>
REFERENCE ""For IPv6 RFC 2461, especially sections 2 and 4.6.2 and<br/>
RFC 2462""</code>]"
iso.3.6.1.2.1.4.32.1.8,"[<code>ipAddressPrefixAdvPreferredLifetime OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
UNITS ""seconds""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The remaining length of time, in seconds, that this prefix<br/>
will continue to be preferred, i.e., time until deprecation.<br/>
A value of 4,294,967,295 represents infinity.<br/>
The address generated from a deprecated prefix should no<br/>
longer be used as a source address in new communications,<br/>
but packets received on such an interface are processed as<br/>
expected.<br/>
The default for IPv4 prefixes is 4,294,967,295 (infinity).""<br/>
REFERENCE ""For IPv6 RFC 2461, especially sections 2 and 4.6.2 and<br/>
RFC 2462""</code>]"
iso.3.6.1.2.1.4.32.1.9,"[<code>ipAddressPrefixAdvValidLifetime OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
UNITS ""seconds""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The remaining length of time, in seconds, that this prefix<br/>
will continue to be valid, i.e., time until invalidation. A<br/>
value of 4,294,967,295 represents infinity.<br/>
The address generated from an invalidated prefix should not<br/>
appear as the destination or source address of a packet.<br/>
The default for IPv4 prefixes is 4,294,967,295 (infinity).""<br/>
REFERENCE ""For IPv6 RFC 2461, especially sections 2 and 4.6.2 and<br/>
RFC 2462""</code>]"
iso.3.6.1.2.1.4.33,"[<code>ipAddressSpinLock OBJECT-TYPE<br/>
SYNTAX TestAndIncr<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""An advisory lock used to allow cooperating SNMP managers to<br/>
coordinate their use of the set operation in creating or<br/>
modifying rows within this table.<br/>
In order to use this lock to coordinate the use of set<br/>
operations, managers should first retrieve<br/>
ipAddressTableSpinLock. They should then determine the<br/>
appropriate row to create or modify. Finally, they should<br/>
issue the appropriate set command, including the retrieved<br/>
value of ipAddressSpinLock. If another manager has altered<br/>
the table in the meantime, then the value of<br/>
ipAddressSpinLock will have changed, and the creation will<br/>
fail as it will be specifying an incorrect value for<br/>
ipAddressSpinLock. It is suggested, but not required, that<br/>
the ipAddressSpinLock be the first var bind for each set of<br/>
objects representing a 'row' in a PDU.""</code>]"
iso.3.6.1.2.1.4.34.1.3,"[<code>ipAddressIfIndex OBJECT-TYPE<br/>
SYNTAX InterfaceIndex<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The index value that uniquely identifies the interface to<br/>
which this entry is applicable. The interface identified by<br/>
a particular value of this index is the same interface as<br/>
identified by the same value of the IF-MIB's ifIndex.""</code>]"
iso.3.6.1.2.1.4.34.1.4,"[<code>ipAddressType OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
unicast(1), anycast(2), broadcast(3) }<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The type of address. broadcast(3) is not a valid value for<br/>
IPv6 addresses (RFC 3513).""<br/>
DEFVAL { unicast }</code>]"
iso.3.6.1.2.1.4.34.1.5,"[<code>ipAddressPrefix OBJECT-TYPE<br/>
SYNTAX RowPointer<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""A pointer to the row in the prefix table to which this<br/>
address belongs. May be { 0 0 } if there is no such row.""<br/>
DEFVAL { zeroDotZero }</code>]"
iso.3.6.1.2.1.4.34.1.6,"[<code>ipAddressOrigin OBJECT-TYPE<br/>
SYNTAX IpAddressOriginTC<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The origin of the address.""</code>]"
iso.3.6.1.2.1.4.34.1.7,"[<code>ipAddressStatus OBJECT-TYPE<br/>
SYNTAX IpAddressStatusTC<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The status of the address, describing if the address can be<br/>
used for communication.<br/>
In the absence of other information, an IPv4 address is<br/>
always preferred(1).""<br/>
DEFVAL { preferred }</code>]"
iso.3.6.1.2.1.4.34.1.8,"[<code>ipAddressCreated OBJECT-TYPE<br/>
SYNTAX TimeStamp<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The value of sysUpTime at the time this entry was created.<br/>
If this entry was created prior to the last re-<br/>
initialization of the local network management subsystem,<br/>
then this object contains a zero value.""</code>]"
iso.3.6.1.2.1.4.34.1.9,"[<code>ipAddressLastChanged OBJECT-TYPE<br/>
SYNTAX TimeStamp<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The value of sysUpTime at the time this entry was last<br/>
updated. If this entry was updated prior to the last re-<br/>
initialization of the local network management subsystem,<br/>
then this object contains a zero value.""</code>]"
iso.3.6.1.2.1.4.34.1.10,"[<code>ipAddressRowStatus OBJECT-TYPE<br/>
SYNTAX RowStatus<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The status of this conceptual row.<br/>
The RowStatus TC requires that this DESCRIPTION clause<br/>
states under which circumstances other objects in this row<br/>
can be modified. The value of this object has no effect on<br/>
whether other objects in this conceptual row can be<br/>
modified.<br/>
A conceptual row can not be made active until the<br/>
ipAddressIfIndex has been set to a valid index.""</code>]"
iso.3.6.1.2.1.4.34.1.11,"[<code>ipAddressStorageType OBJECT-TYPE<br/>
SYNTAX StorageType<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The storage type for this conceptual row. If this object<br/>
has a value of 'permanent', then no other objects are<br/>
required to be able to be modified.""<br/>
DEFVAL { volatile }</code>]"
iso.3.6.1.2.1.4.35.1.4,"[<code>ipNetToPhysicalPhysAddress OBJECT-TYPE<br/>
SYNTAX PhysAddress (SIZE(0..65535))<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The media-dependent `physical' address.<br/>
As the entries in this table are typically not persistent<br/>
when this object is written the entity SHOULD NOT save the<br/>
change to non-volatile storage.""</code>]"
